newid,st_wgt,caladj45,state,psu
05490881,55216.05540237931,1.5584476952195934,06,S49C
05490882,55216.05540237931,1.5584476952195934,06,S49C
05491111,35229.46450954709,0.6659762640128447,06,NA
05491112,35229.46450954709,0.6659762640128447,06,NA
05491221,24004.6704162236,0.7318814863735948,06,S49B
05491222,24004.6704162236,0.7318814863735948,06,S49B
05491371,87690.4318545665,1.1002064029587264,06,S49B
05491372,87690.4318545665,1.1002064029587264,06,S49B
05492071,23867.525250730654,0.8311110228913756,06,S49E
05492072,23867.525250730654,0.8311110228913756,06,S49E
05492281,45546.96531737914,1.147880090840962,06,NA
05492282,45546.96531737914,1.147880090840962,06,NA
05492541,29406.68010186475,1.6484438178527938,06,S49C
05492542,29406.68010186475,1.6484438178527938,06,S49C
05492611,56434.371403483034,1.032090693319332,06,NA
05492612,56434.371403483034,1.032090693319332,06,NA
05492711,55840.08699354325,0.9476229459147035,06,NA
05492712,55840.08699354325,0.9476229459147035,06,NA
05493001,16078.58559121909,0.7559109919706504,06,S49E
05493002,16078.58559121909,0.7559109919706504,06,S49E
05493071,40989.471594162336,0.9908076249445922,06,S49A
05493072,40989.471594162336,0.9908076249445922,06,S49A
05493141,29857.570146059978,0.7158924952693695,06,S49A
05493142,29857.570146059978,0.7158924952693695,06,S49A
05493191,21526.129473822897,0.5732545773514295,06,S49A
05493192,21526.129473822897,0.5732545773514295,06,S49A
05493341,34609.85090392945,1.9563596610100311,06,S49C
05493342,34609.85090392945,1.9563596610100311,06,S49C
05493421,62137.932443719255,1.0544992632653798,06,NA
05493422,62137.932443719255,1.0544992632653798,06,NA
05493471,24639.873062292427,1.1028317572651758,06,S49E
05493472,24639.873062292427,1.1028317572651758,06,S49E
05493691,45476.87734339194,1.1658549016238382,06,S49A
