newid,state,qintrvyr,qintrvmo,psu,txwgt
04462403,48,2021,2,S37A,31361.111961173923
04464193,48,2021,2,NA,76572.57997415947
04465283,48,2021,2,NA,70799.50684350116
04465403,48,2021,2,NA,46837.37341858287
04465703,48,2021,2,S37B,29826.078374977144
04465813,48,2021,2,S37B,58439.40123480251
04466033,48,2021,2,NA,57072.94039380192
04466543,48,2021,2,S37A,41394.19022616708
04466873,48,2021,2,S37B,20740.32564512691
04466913,48,2021,2,S37B,24864.400107228583
04468573,48,2021,2,NA,33682.820884476765
04469273,48,2021,2,NA,39408.42003429485
04470233,48,2021,2,S37A,31584.386520463995
04470903,48,2021,2,NA,40235.1558225886
04470933,48,2021,2,S37A,38387.42186051342
04471123,48,2021,2,NA,67479.68235661158
04471203,48,2021,2,S37B,23514.526710865885
04503613,48,2021,3,S37B,13212.301249050024
04503743,48,2021,3,NA,22391.2521377028
04503993,48,2021,3,NA,54199.345751723515
04504203,48,2021,3,S37A,29671.967740823096
04505903,48,2021,3,NA,54199.345751723515
04506093,48,2021,3,S37B,35079.13819004981
04507473,48,2021,3,S37A,26442.50166046167
04507483,48,2021,3,S37A,25958.67926557206
04507823,48,2021,3,NA,14694.670841129075
04508243,48,2021,3,NA,70371.23338204743
04508663,48,2021,3,S37A,22857.403706239103
04509543,48,2021,3,S37B,29790.543544266195
04509643,48,2021,3,NA,49279.45926627166
04509823,48,2021,3,NA,48852.19782249358
04510823,48,2021,3,S37B,66708.20775937781
04512023,48,2021,3,S37B,62162.954864152154
04512233,48,2021,3,S37A,22987.52831621207
04513273,48,2021,3,NA,14578.435165794193
04514083,48,2021,3,S37A,37286.5377815946
04544712,48,2021,1,S37B,26273.74279400532
04545482,48,2021,1,S37B,43081.47619250399
04545552,48,2021,1,NA,27997.48390851451
04545812,48,2021,1,S37B,57010.88968141337
04546002,48,2021,1,S37A,51819.5406346559
04546222,48,2021,1,NA,78751.9915427568
04546922,48,2021,1,NA,52227.33062853327
04547992,48,2021,1,NA,91155.22027641017
04548224,48,2021,1,S37A,32261.506766658425
04548632,48,2021,1,S37A,54860.01758784618
04548832,48,2021,1,NA,48917.24175797362
04549262,48,2021,1,S37B,27805.79059003916
04549372,48,2021,1,NA,48372.69336117185
04550322,48,2021,1,NA,34981.495786478605
04550372,48,2021,1,NA,68307.47346861538
04550762,48,2021,1,S37B,27240.4402293967
04551172,48,2021,1,NA,62916.19000229105
04552032,48,2021,1,S37A,29987.254017951724
04552622,48,2021,1,S37B,33441.18333924784
04553412,48,2021,1,S37B,57852.807339343846
04553572,48,2021,1,NA,36608.7134664511
04553612,48,2021,1,NA,67357.60601614558
04554312,48,2021,1,NA,53443.24968510974
04556022,48,2021,2,S37B,37043.66180198663
04556382,48,2021,2,NA,66108.53772297413
04556393,48,2021,2,NA,59120.9421031833
04556882,48,2021,2,S37A,38387.42186051342
