newid,state,strtyear,strtmnth,psu,txwgt
04437012,48,2020,3,S37B,42588.57901372087
04437242,48,2020,2,S37A,51107.193934494906
04437321,48,2020,2,NA,69760.96720085209
04437322,48,2020,2,NA,69760.96720085209
04437641,48,2020,3,NA,65529.71397147368
04437642,48,2020,3,NA,65529.71397147368
04438051,48,2020,2,NA,29345.728288403006
04438052,48,2020,2,NA,29345.728288403006
04438171,48,2020,2,S37B,30859.167141113914
04438172,48,2020,2,S37B,30859.167141113914
04439081,48,2020,2,S37B,32340.990630137345
04439082,48,2020,2,S37B,32340.990630137345
04439351,48,2020,3,NA,38203.16421057388
04439352,48,2020,3,NA,38203.16421057388
04439661,48,2020,2,NA,105815.91249630295
04439662,48,2020,2,NA,105815.91249630295
04440281,48,2020,2,NA,46576.05706368131
04440282,48,2020,2,NA,46576.05706368131
04440391,48,2020,2,S37B,30350.57962873629
04440392,48,2020,2,S37B,30350.57962873629
04441691,48,2020,2,S37B,37096.261525078575
04441692,48,2020,2,S37B,18073.78292388032
04441811,48,2020,2,NA,31011.434062502067
04441812,48,2020,2,NA,31011.434062502067
04441961,48,2020,2,S37A,61575.82560631253
04441962,48,2020,2,S37A,61575.82560631253
04442191,48,2020,2,S37A,14794.036439415355
04442192,48,2020,2,S37A,14794.036439415355
04442931,48,2020,2,S37A,47433.234815288975
04442932,48,2020,2,S37A,47433.234815288975
04443022,48,2020,2,S37A,17090.985368630794
04443411,48,2020,2,S37A,35869.2786042424
04443412,48,2020,2,S37A,35869.2786042424
04443581,48,2020,2,S37A,34825.750522185386
04443582,48,2020,2,S37A,34825.750522185386
04443611,48,2020,2,S37B,41115.42862403484
04443612,48,2020,2,S37B,41115.42862403484
04443841,48,2020,2,S37A,44945.453887244075
04443842,48,2020,3,S37A,44945.453887244075
04444141,48,2020,2,NA,71978.35224215308
04444142,48,2020,2,NA,71978.35224215308
04444331,48,2020,2,S37A,48041.63039747671
04444332,48,2020,2,S37A,48041.63039747671
04444791,48,2020,2,S37A,41225.364977312
04444792,48,2020,3,S37A,41225.364977312
04445031,48,2020,2,S37B,11774.402041862364
04445032,48,2020,2,S37B,11774.402041862364
04446071,48,2020,3,S37B,58995.094788819355
04446072,48,2020,3,S37B,58995.094788819355
04446331,48,2020,3,S37A,42734.4790798361
